PublicationID,PublicationType,Title,Authors,CreationDate
1,Books & Book Chapters/ Livres et Chapitres,CanmetMINING Mineral Processing Capabilities - Canadian Milling Practices 2020,"Rory Cameron, Janice Zinck",2021-02-19
2,Books & Book Chapters/ Livres et Chapitres,Novel approaches for the extraction of actinides as a by-product in the mining industry.,Laurence Whitty Leveillé,2019-02-27
3,Books & Book Chapters/ Livres et Chapitres,An Overview of New Developments in Shale Gas: Induced Seismicity Aspect,"Nadia Shafie Zadeh, Shahriar Tablebi",2018-03-21
4,Books & Book Chapters/ Livres et Chapitres,GEOCHEMICAL properties OF Cu-Ni TAILINGS under three distinct revegetation practices ,Suzanne Beauchemin,2017-03-13
5,Books & Book Chapters/ Livres et Chapitres,Observations on the Data from the Preparation of Certified Reference Materials and Proficiency Testing Program - Mineral Analysis Laboratories (PTP-MAL) at CCRMP,"Leaver, Maureen",2015-02-04
6,Consultant Report/ Raport de consultant,TEA of REE Electrowinning,Kevin Watson (KPM),2021-02-16
7,Consultant Report/ Raport de consultant,Maclean Engineering Diesel and Battery Electric Powered Cassette Report,"John Le, Ahmad Mohsenimanesh",2021-02-15
8,Consultant Report/ Raport de consultant,"Material of Construction for RE Acid Baking Rotary Kiln, Off-gas System and other Auxiliary Equipment - a Review","Delin Li (CMAT), Kumar Sadayappan (CMAT), Li Yan (CMAT)",2021-01-18
9,Consultant Report/ Raport de consultant,Review: Flue Gas Corrosion and Corrosion Testing of Exhaust Off-Gas System for Rare Earth Acid Baking Rotary Kiln,Xin Pang (CMAT) and Yimin Zeng (CMAT),2021-01-18
10,Consultant Report/ Raport de consultant,Review: Resistance of Metallic Materials to Uniform Corrosion in Sulphuric Acid,Haiou Jin (CMAT),2021-01-18
11,Consultant Report/ Raport de consultant,LCA of REE Processing,"Robert Pell (Minviro), Phoebe Whattoff (Minviro)",2021-01-08
12,Consultant Report/ Raport de consultant,NRCan REE Ore Deposit Sortability Report on Ashram,"David Turner (MineSense), Hoda Bagheri (MineSense)",2021-01-07
13,Consultant Report/ Raport de consultant,ON THE ELECTROWINNING OF DIDYMIUM ALLOY,"Daniel Calabretta, William Courchesne, and Boyd Davis (Kingston Process Metallurgy)",2020-11-20
14,Consultant Report/ Raport de consultant,Experimental Determination of Separating Factors for REE Solvent Extraction ,"Baodong Zhao, Saskatchewan Research Council",2020-10-19
15,Consultant Report/ Raport de consultant,"Neodymium, Preasodymium and Didymium metal production from ores – a literature review",Kingston Process Metallurgy (KPM),2020-04-20
16,Consultant Report/ Raport de consultant,Experimental determination of solubility of REE sulphates in sulphuric acid media,Saskatchewan Research Council,2020-03-31
17,Consultant Report/ Raport de consultant,Review of Climate Change Adaptation in the Mining Industry,SRK Consulting Canada,2020-03-31
18,Consultant Report/ Raport de consultant,Literature Review on the Solubility of Rare Earth Sulphates,CERCL Ltd. (U of T),2020-01-08
19,Consultant Report/ Raport de consultant,"Toxicity of REE to Chironomus dilutus, Neocloeon triangulifer and Sphaerium sp.",Nautilus,2019-12-19
20,Consultant Report/ Raport de consultant,Application of Supercritical Fluid Extraction to Extract and Recover Rare Earth Elements,CERCL Ltd. (U of T),2019-12-11
21,Consultant Report/ Raport de consultant,Toxicity of REE in sediment exposures to Hyalella azteca and Chironomus tentans,Nautilus,2019-12-11
22,Consultant Report/ Raport de consultant,Literature review: Physical separation of REE bearing minerals,neoCtech,2019-09-30
23,Consultant Report/ Raport de consultant,Comparison of REE Acid Baking in Rotary Kiln and Fluidized Bed Reactor,Kingston Process Metallurgy Inc.,2019-08-29
24,Consultant Report/ Raport de consultant,Experimental Determination of Solubility of Rare Earth Sulphates: Follow-up Studies,CERCL Ltd. (U of T),2019-07-18
25,Consultant Report/ Raport de consultant,Review of recent work on the recovery of REE from Secondary Sources,INRS - UQAT,2019-07-10
26,Consultant Report/ Raport de consultant,2018-19 Report on SMC to ISO/TC298 Rare Earth,CSA Group,2019-06-26
27,Consultant Report/ Raport de consultant,Recent Progress in Impurity Removal During REE Processing: Literature Review,CERCL Ltd. (U of T),2019-06-20
28,Consultant Report/ Raport de consultant,Updated Literature Review on Acid Baking and Leaching for REE,CERCL Ltd.,2019-06-20
29,Consultant Report/ Raport de consultant,Benchmarking of REE Separation in Canada,Laval University,2019-06-19
30,Consultant Report/ Raport de consultant,NRCan-5000033217 Second Pilot Smelting Campaign of Ring of Fire Chromite Ore,SPS Expert Process Solutions,2019-06-19
31,Consultant Report/ Raport de consultant,REE Processing Reagent Regeneration Review,Kingston Process Metallurgy Inc.,2019-06-19
32,Consultant Report/ Raport de consultant,Standardized Method for Dynamic Pull Testing of Rockbolts Suggested to the ISRM,"Renée Royer , Devan MacDonald",2019-06-05
33,Consultant Report/ Raport de consultant,Water Balance Model for a Mineral Processing Plant ,Saviz Mortazavi,2019-03-28
34,Consultant Report/ Raport de consultant,Technico-economic Assessment Study for Production of Bioenergy at Vale,ABRI-Tech,2018-05-01
35,Consultant Report/ Raport de consultant,"Review and Analysis of International Experiences in Chromite Mining and Ferrochrome Production, and Implications for the Development of Canadian Deposits",Hatch,2016-06-15
36,Consultant Report/ Raport de consultant,Summary and Analysis of the Current State of Developments for the Exploitation of the Ring of Fire Deposits and Opportunities for Downstream Value ,Hatch,2016-06-15
37,Consultant Report/ Raport de consultant,"The State of Global Rare Earths Industry: A review of market, production, processing and associated environmental issues",NRC,2016-05-25
38,Consultant Report/ Raport de consultant,North American Chromite and Ferrochrome Market Study,Hatch,2016-04-27
